COMMENT  /* A program */
K_WORD   int
ID       gcd
SYMBOL   (
K_WORD   int
ID       u
SYMBOL   ,
K_WORD   int
ID       v
SYMBOL   )
SYMBOL   {
K_WORD   if
SYMBOL   (
NUMBER   6
SYMBOL   <=
NUMBER   5
SYMBOL   )
K_WORD   if
SYMBOL   (
ID       v
SYMBOL   ==
NUMBER   0
SYMBOL   )
K_WORD   return
ID       u
SYMBOL   ;
K_WORD   else
K_WORD   return
ID       gcd
SYMBOL   (
ID       v
SYMBOL   ,
ID       u
SYMBOL   -
ID       u
SYMBOL   /
ID       v
SYMBOL   *
ID       v
SYMBOL   )
SYMBOL   ;
SYMBOL   }
K_WORD   void
ID       main
SYMBOL   (
SYMBOL   )
SYMBOL   {
K_WORD   int
ID       x
SYMBOL   ;
K_WORD   int
ID       y
SYMBOL   ;
ID       x
SYMBOL   =
ID       input
SYMBOL   (
SYMBOL   )
SYMBOL   ;
ID       y
SYMBOL   =
ID       input
SYMBOL   (
SYMBOL   )
SYMBOL   ;
ID       output
SYMBOL   (
ID       gcd
SYMBOL   (
ID       x
SYMBOL   ,
ID       y
SYMBOL   )
SYMBOL   )
SYMBOL   ;
SYMBOL   }
